start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,connections,start station latitude
358,Christopher St & Greenwich St,407329,-740071,426,West St & Chambers St,407175,-740132,43,407329
521,8 Ave & W 31 St,407504,-739948,478,11 Ave & W 41 St,407603,-739988,42,407504
435,W 21 St & 6 Ave,407417,-739941,505,6 Ave & W 33 St,407490,-739884,42,407417
127,Barrow St & Hudson St,407317,-740067,521,8 Ave & W 31 St,407504,-739948,42,407317
347,W Houston St & Hudson St,407287,-740074,521,8 Ave & W 31 St,407504,-739948,42,407287
281,Grand Army Plaza & Central Park S,407643,-739737,457,Broadway & W 58 St,407669,-739816,42,407643
168,W 18 St & 6 Ave,407397,-739945,497,E 17 St & Broadway,407370,-739900,42,407397
487,E 20 St & FDR Drive,407331,-739757,503,E 20 St & Park Ave,407382,-739875,42,407331
523,W 38 St & 8 Ave,407546,-739913,527,E 33 St & 1 Ave,407431,-739743,42,407546
137,E 56 St & Madison Ave,407616,-739729,318,E 43 St & Vanderbilt Ave,407532,-739779,42,407616
477,W 41 St & 8 Ave,407564,-739900,440,E 45 St & 3 Ave,407525,-739728,42,407564
352,W 56 St & 6 Ave,407634,-739772,359,E 47 St & Park Ave,407551,-739749,42,407634
499,Broadway & W 60 St,407691,-739819,305,E 58 St & 3 Ave,407609,-739672,42,407691
502,Henry St & Grand St,407142,-739813,531,Forsyth St & Broome St,407189,-739926,42,407142
501,FDR Drive & E 35 St,407442,-739712,519,Pershing Square N,407518,-739777,42,407442
342,Columbia St & Rivington St,407173,-739801,295,Pike St & E Broadway,407140,-739929,42,407173
497,E 17 St & Broadway,407370,-739900,482,W 15 St & 7 Ave,407393,-739993,42,407370
212,W 16 St & The High Line,407433,-740068,435,W 21 St & 6 Ave,407417,-739941,42,407433
